product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
iD Idli & Dosa Batter,80.0,68.0,15,6,1000,False,7,7,"Beverages, Chocolates & Candies, Cooking Essentials, Dairy, Bread & Batter, Ice Cream & Desserts, Munchies, Packaged Food"
Godrej Yummiez Chicken Breakfast Salami,150.0,143.0,4,0,250,True,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Godrej Yummiez Chicken Nuggets,325.0,293.0,9,1,500,False,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Godrej Yummiez Chicken Punjabi Tikka,295.0,266.0,9,6,360,False,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Godrej Yummiez Chilli Chicken Sausages,160.0,144.0,10,3,250,False,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Yummiez Chicken Garlic Fingers Pouch,250.0,250.0,0,5,400,False,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Zorabian Chicken Kheema Parathas,190.0,190.0,0,0,300,True,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Zorabian Chicken Smoked Ham,205.0,194.0,5,1,250,False,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food"
Amul Cheese Spread Creamy,85.0,80.0,5,6,180,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Cheese Spread Spicy Garlic,85.0,82.0,3,0,200,True,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Cheese Spread Yummy Plain,85.0,85.0,0,0,200,True,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Delicious Fat Spread - Cholesterol Free,18.0,17.0,5,6,100,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Delicious Fat Spread - Cholesterol Free,88.0,86.0,2,2,500,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Lite Spread,40.0,39.0,2,5,100,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Arden Desi Eggs,110.0,95.0,13,4,348,False,5,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies"
