product_name,sku_rows,category_count,categories,min_mrp_rupees,max_mrp_rupees
iD Idli & Dosa Batter,7,7,"Beverages, Chocolates & Candies, Cooking Essentials, Dairy, Bread & Batter, Ice Cream & Desserts, Munchies, Packaged Food",80.0,80.0
Godrej Yummiez Chicken Breakfast Salami,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",150.0,150.0
Godrej Yummiez Chicken Nuggets,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",325.0,325.0
Godrej Yummiez Chicken Punjabi Tikka,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",295.0,295.0
Godrej Yummiez Chilli Chicken Sausages,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",160.0,160.0
Yummiez Chicken Garlic Fingers Pouch,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",250.0,250.0
Zorabian Chicken Kheema Parathas,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",190.0,190.0
Zorabian Chicken Smoked Ham,6,6,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Meats, Fish & Eggs, Munchies, Packaged Food",205.0,205.0
Amul Delicious Fat Spread - Cholesterol Free,10,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food",18.0,88.0
Arden Eggs White,10,5,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Meats, Fish & Eggs, Munchies",65.0,97.0
Mother's Recipe Tamarind Paste,10,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",50.0,50.0
Quaker Oats,10,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",79.0,199.0
Saffola Veggie Twist Masala Oats,10,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",15.0,195.0
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,10,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",28.0,28.0
Ching's Secret Chowmein Hakka Noodles Masala,8,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food",44.0,60.0
