order_id,sku_id,customer_id,dark_store_id,order_date,category,product_name,units_ordered,units_fulfilled,stockout_flag,substitution_accepted,selling_price_rupees,gross_demand_value_rupees,fulfilled_revenue_rupees,unfulfilled_value_rupees,delivery_minutes,data_origin
QCO-SCN-00001,2712,C00701,DS_03,2026-01-25,Biscuits,Good Day Butter Cookies,3,0,True,False,10.0,30.0,0.0,30.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00002,1492,C01208,DS_02,2026-01-11,Packaged Food,The Whole Truth Peanut Cocoa Protein Bar No Sugar,1,1,False,False,74.0,74.0,74.0,0.0,17.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00003,3096,C00888,DS_03,2026-01-08,Personal Care,Godrej Cinthol Lime Refreshing Deo Soap,1,0,True,True,116.0,116.0,0.0,116.0,23.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00004,2481,C01738,DS_04,2026-01-01,Chocolates & Candies,Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,3,3,False,False,140.0,420.0,420.0,0.0,18.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00005,265,C01049,DS_03,2026-01-04,Cooking Essentials,Saffola Yummy Masala Noodles,3,0,True,False,20.0,60.0,0.0,60.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00006,3636,C00229,DS_01,2026-01-01,Health & Hygiene,Epigamia Fruit Yogurt Alphonso Mango,1,1,False,False,20.0,20.0,20.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00007,2680,C01105,DS_05,2026-01-10,Biscuits,Orion Choco Pie - Chocolate Coated Soft Biscuit,1,0,True,False,112.0,112.0,0.0,112.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00008,2742,C00562,DS_04,2026-01-06,Biscuits,Britannia Toastea Premium Bake Rusk,1,0,True,False,47.0,47.0,0.0,47.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00009,374,C00846,DS_04,2026-01-01,Cooking Essentials,Popular Essentials Red Poha,2,2,False,False,43.0,86.0,86.0,0.0,16.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00010,1535,C00139,DS_04,2026-01-24,Packaged Food,Kellogg's Original Corn Flakes,2,2,False,False,290.0,580.0,580.0,0.0,19.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00011,1271,C01565,DS_01,2026-01-27,Beverages,Amul Cheese - Processed Slices,1,1,False,False,120.0,120.0,120.0,0.0,26.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00012,3437,C00726,DS_05,2026-01-27,Paan Corner,Bajaj Almond Drops Hair Oil,2,0,True,False,60.0,120.0,0.0,120.0,,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
QCO-SCN-00013,2260,C01452,DS_01,2026-01-26,Chocolates & Candies,Mothers Recipe Tamrind Date Chutney,1,1,False,False,50.0,50.0,50.0,0.0,23.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY
