priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
1,943,"Cooking Essentials","Patanjali Cow's Ghee",565.0,565.0,0,0,1000,1,12.45,0.0,65
2,2421,Munchies,"Patanjali Cow's Ghee",565.0,565.0,0,0,1000,1,12.45,0.0,65
3,147,Biscuits,"Britannia Good Day Cashew Cookies",230.0,172.0,25,0,1000,1,28.57,0.0,65
4,2096,"Meats, Fish & Eggs","Fresh Chicken Mince - Kheema (Halal)",215.0,204.0,5,0,500,1,19.05,0.0,65
5,2100,"Meats, Fish & Eggs","Godrej Real Good Chicken Boneless Cubes",275.0,248.0,9,0,450,1,19.05,0.0,60
6,2136,"Meats, Fish & Eggs","Zorabian Chicken Cubes",270.0,270.0,0,0,500,1,19.05,0.0,60
7,122,Beverages,"The Whole Truth Peanut Butter - Unsweetened & Crunchy",185.0,148.0,20,0,325,1,21.71,0.0,60
8,1300,"Dairy, Bread & Batter","The Whole Truth Peanut Butter - Unsweetened & Crunchy",185.0,148.0,20,0,325,1,21.71,0.0,60
9,2095,"Meats, Fish & Eggs","Fresh Chicken Curry Cut - Skinless (Halal)",140.0,140.0,0,0,500,1,19.05,0.0,60
10,65,Beverages,"Go Cheese Pizza Blend Mozzarella + Cheddar",125.0,118.0,5,0,200,1,21.71,0.0,60
11,1243,"Dairy, Bread & Batter","Go Cheese Pizza Blend Mozzarella + Cheddar",125.0,118.0,5,0,200,1,21.71,0.0,60
12,217,Biscuits,"Open Secret Choco Almond Story Box",105.0,81.0,22,0,75,1,28.57,0.0,60
13,53,Beverages,"D'lecta Shredded Mozzarella Cheese",100.0,95.0,5,0,140,1,21.71,0.0,60
14,1231,"Dairy, Bread & Batter","D'lecta Shredded Mozzarella Cheese",100.0,95.0,5,0,140,1,21.71,0.0,60
15,88,Beverages,"Pillsbury Pancake Mix - Funfetti",99.0,88.0,11,0,162,1,21.71,0.0,60
16,1266,"Dairy, Bread & Batter","Pillsbury Pancake Mix - Funfetti",99.0,88.0,11,0,162,1,21.71,0.0,60
17,83,Beverages,"Nestle A+ Slim Milk",89.0,89.0,0,0,1000,1,21.71,0.0,60
18,1261,"Dairy, Bread & Batter","Nestle A+ Slim Milk",89.0,89.0,0,0,1000,1,21.71,0.0,60
19,157,Biscuits,"Britannia Marie Gold (Buy 4 Get 1 Free)",80.0,80.0,0,0,600,1,28.57,0.0,60
20,28,Beverages,"Amul Slim Trim Skimmed Milk",75.0,75.0,0,0,1000,1,21.71,0.0,60
21,106,Beverages,"Suguna Vitamin D Egg",75.0,62.0,17,0,348,1,21.71,0.0,60
22,1206,"Dairy, Bread & Batter","Amul Slim Trim Skimmed Milk",75.0,75.0,0,0,1000,1,21.71,0.0,60
23,1284,"Dairy, Bread & Batter","Suguna Vitamin D Egg",75.0,62.0,17,0,348,1,21.71,0.0,60
